時間
804, 06:05:48
805, 06:05:49
806, 06:08:38
807, 06:08:39
808, 06:08:40
809, 06:10:46
810, 06:10:47
811, 06:10:48
812, 06:13:45
813, 06:13:46
814, 06:13:46
815, 06:13:47
816, 06:13:47
817, 06:16:54
818, 06:16:56
819, 06:16:57
820, 06:16:57
821, 06:16:58
822, 06:16:59
834, 06:23:56
835, 06:23:56
836, 06:23:57
837, 06:23:57
838, 06:26:57
839, 06:26:58
840, 06:26:58
841, 06:26:59
842, 06:27:00
843, 06:27:00
844, 06:27:01
845, 06:27:01
846, 06:27:01
847, 06:29:49
848, 06:29:49
849, 06:33:56
850, 06:39:56
851, 06:39:57
852, 06:39:57
853, 06:42:38
854, 06:42:39
855, 06:42:39
856, 06:42:40
857, 06:50:17
858, 06:50:20
859, 06:50:21
860, 06:50:21
861, 06:50:22
862, 06:50:22
863, 06:50:22
864, 06:58:23
865, 06:58:25
866, 07:02:09
867, 07:02:09
868, 07:02:09
869, 07:02:10
870, 07:05:19
871, 07:05:20
872, 07:05:20
873, 07:05:22
874, 07:07:44
875, 07:07:44
876, 07:11:24
877, 07:11:24
878, 07:11:25
879, 07:11:26
880, 07:14:01
881, 07:14:01
882, 07:14:01
883, 07:17:19
888, 07:19:11
884, 07:22:06
885, 07:22:07
886, 07:22:07
887, 07:22:08
889, 07:24:41
890, 07:24:42
891, 07:24:42
892, 07:24:42
893, 07:24:43
894, 07:24:43
895, 07:24:44
